,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,song_name,artist,genre
611,0.326,0.0436,5.0,-30.607,0.0,0.0407,0.995,0.908,0.0997,0.458,70.121,7zv2BCCUu8bwd9fo9BA8IK,248293.0,4.0,"Das Wohltemperierte Klavier: Book 2, BWV 870-893: Pr?ludium f-Moll, BWV 881",Johann Sebastian Bach,classical
612,0.274,0.167,9.0,-15.996,1.0,0.0431,0.634,0.939,0.104,0.0408,113.631,7cp3lHAPGcUbb7tJP0kuxl,334553.0,4.0,Infra 5 - Orchestra Version,Max Richter,classical
613,0.149,0.101,2.0,-19.935,0.0,0.0342,0.984,0.917,0.184,0.0486,79.567,4Lpe7VxL34rcMnpfOwoqOI,202000.0,4.0,"Requiem in D Minor, K.626: III. Sequentia: f. Lacrimosa",Wolfgang Amadeus Mozart,classical
614,0.0863,0.201,4.0,-14.365,0.0,0.0355,0.915,0.943,0.113,0.0398,74.351,02xd7yuAEiLOF7rt4zlPep,285251.0,3.0,River Flows in You - Orchestra Version,Yiruma,classical
615,0.0958,0.322,10.0,-13.753,0.0,0.0458,0.159,0.855,0.105,0.0332,87.339,58vWVeAtv2LKwlYyRLPWV5,374400.0,3.0,On The Nature Of Daylight,Max Richter,classical
616,0.335,0.0118,1.0,-23.89,1.0,0.0406,0.992,0.933,0.085,0.0805,91.146,5wDBBKEIiDYwPQj4SpbBPI,290933.0,4.0,"24 Pr¨¦ludes, Op. 28: No. 15 in D-Flat Major: Sostenuto",Fr¨¦d¨¦ric Chopin,classical
617,0.197,0.422,0.0,-13.065,1.0,0.0423,0.513,0.555,0.284,0.0948,94.018,31BLOz0XDJPPDKI94Gd14v,385070.0,4.0,"Main Title - From ""Star Wars: A New Hope""",John Williams,classical
618,0.491,0.0759,10.0,-25.558,1.0,0.0485,0.988,0.943,0.128,0.549,98.595,1gK2cDl2dY7DFUEXvoMms6,52929.0,5.0,"Variations and Fugue on a Theme by Handel, Op.24: Aria - Live",Johannes Brahms,classical
619,0.377,0.0105,6.0,-32.994,1.0,0.0426,0.994,0.895,0.0638,0.0996,76.055,3vSOD8Ng5m8eLH4EhoJcTL,143806.0,3.0,"Pr¨¦ludes / Book 1, L. 117: 8. La fille aux cheveux de lin",Claude Debussy,classical
620,0.0875,0.112,2.0,-22.576,0.0,0.0471,0.966,0.39,0.0931,0.0394,68.218,33DWEcHqtj1w5rnghLE77x,223173.0,3.0,Schindler's List: Main Theme,John Williams,classical
